"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
5,5,1,2,"true","true",256,1,1.18611767942795e-10,120,"GRM"
8,4,2,2,"true","false",512,4,1.45503566509476e-10,120,"GRM"
6,3,2,2,"true","false",128,4,1.5817793699039e-10,120,"GRM"
6,3,2,4,"true","true",128,2,1.59310753058631e-10,120,"GRM"
10,5,1,2,"true","true",256,4,1.42475538199169e-10,120,"GRM"
12,4,4,2,"true","false",128,4,2.04332223170412e-10,120,"GRM"
4,2,2,4,"true","false",1024,16,1.74656387410887e-10,120,"GRM"
5,5,1,2,"true","true",256,1,1.18611767942795e-10,120,"GRM"
4,4,1,4,"true","false",128,2,1.25109511762482e-10,120,"GRM"
20,5,2,2,"true","false",256,4,1.48858292705467e-10,120,"GRM"
10,5,2,2,"true","false",128,2,1.44405719366328e-10,120,"GRM"
3,3,1,2,"true","true",128,2,1.37756460324827e-10,120,"GRM"
12,6,2,4,"true","true",64,2,1.37227036791841e-10,120,"GRM"
12,6,2,4,"true","false",512,4,1.3540030760049e-10,120,"GRM"
5,5,1,4,"true","true",512,16,1.25745008277944e-10,120,"GRM"
6,6,1,4,"true","false",1024,4,1.18096841715479e-10,120,"GRM"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GRM"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GRM"
12,3,1,4,"true","true",128,2,1.72925900783062e-10,120,"GRM"
8,4,2,2,"true","true",128,4,1.4493093093373e-10,120,"GRM"
6,6,1,4,"true","false",256,8,1.20542237352126e-10,120,"GRM"
18,6,1,4,"true","false",128,1,1.63005055713304e-10,120,"GRM"
4,4,1,4,"true","false",128,2,1.25109511762482e-10,120,"GRM"
12,6,1,2,"true","false",512,4,1.36576491973056e-10,120,"GRM"
20,5,2,2,"true","false",64,1,1.4731005264292e-10,120,"GRM"
4,4,1,4,"true","true",128,2,1.2616196070333e-10,120,"GRM"
10,5,1,2,"true","true",128,2,1.43886857500089e-10,120,"GRM"
3,3,1,4,"true","false",64,1,1.55219657669079e-10,120,"GRM"
5,5,1,4,"true","false",1024,2,1.25193376721125e-10,120,"GRM"
2,2,1,2,"true","false",512,16,1.57169958500066e-10,120,"GRM"
12,6,2,4,"true","true",512,4,1.34066482063271e-10,120,"GRM"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GRM"
4,2,1,2,"true","false",256,2,1.79879678295205e-10,120,"GRM"
4,4,1,4,"true","false",128,2,1.25109511762482e-10,120,"GRM"
24,6,2,4,"true","false",64,1,1.41924380072479e-10,120,"GRM"
6,3,2,4,"true","true",512,4,1.58046462799045e-10,120,"GRM"
2,2,1,2,"true","false",128,2,1.5624413559592e-10,120,"GRM"
16,4,2,2,"true","true",512,8,1.64829577019825e-10,120,"GRM"
6,6,1,2,"true","false",128,2,1.17976523819686e-10,120,"GRM"
4,2,1,2,"true","false",256,2,1.79879678295205e-10,120,"GRM"
3,3,1,4,"true","false",128,2,1.36120252443834e-10,120,"GRM"
24,6,4,4,"true","true",128,1,1.42986124513889e-10,120,"GRM"
2,2,1,2,"true","false",128,2,1.5624413559592e-10,120,"GRM"
16,4,1,2,"true","false",128,4,1.60287988694793e-10,120,"GRM"
4,4,1,2,"true","true",256,4,1.27103827056844e-10,120,"GRM"
2,2,1,2,"true","false",128,2,1.5624413559592e-10,120,"GRM"
15,5,4,2,"true","false",256,2,1.90104055759067e-10,120,"GRM"
20,5,2,2,"true","false",64,1,1.4731005264292e-10,120,"GRM"
4,2,1,2,"true","true",256,4,1.80536216891147e-10,120,"GRM"
15,5,1,2,"true","false",64,2,1.74150162875236e-10,120,"GRM"
6,3,2,4,"true","false",1024,16,1.52554038682594e-10,120,"GRM"
6,6,1,4,"true","true",256,8,1.19614452797975e-10,120,"GRM"
5,5,1,2,"true","false",128,2,1.18427245214453e-10,120,"GRM"
3,3,1,4,"true","true",512,4,1.35806763141539e-10,120,"GRM"
16,4,4,2,"true","true",128,2,1.57132972686489e-10,120,"GRM"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GRM"
2,2,1,2,"true","false",512,4,1.55269439447837e-10,120,"GRM"
6,3,2,2,"true","false",128,2,1.58333256590852e-10,120,"GRM"
16,4,2,4,"true","true",64,2,1.61574160777351e-10,120,"GRM"
10,5,2,4,"true","true",512,4,1.40742193789431e-10,120,"GRM"
15,5,4,2,"true","false",512,8,1.97340626391439e-10,120,"GRM"
20,5,4,4,"true","true",128,4,1.52627014554584e-10,120,"GRM"
2,2,1,2,"true","false",512,4,1.55269439447837e-10,120,"GRM"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,120,"GRM"
5,5,1,4,"true","true",128,2,1.2260596387318e-10,120,"GRM"
6,6,1,4,"true","true",128,2,1.18746687810648e-10,120,"GRM"
20,5,1,2,"true","false",64,2,1.4944202518166e-10,120,"GRM"
10,5,2,4,"true","false",512,8,1.42766824709234e-10,120,"GRM"
12,3,2,2,"true","false",128,2,1.73812692295894e-10,120,"GRM"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GRM"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,120,"GRM"
16,4,4,2,"true","true",128,2,1.57132972686489e-10,120,"GRM"
10,5,2,4,"true","false",256,2,1.41321341327822e-10,120,"GRM"
24,6,1,2,"true","false",64,1,1.42776743657055e-10,120,"GRM"
12,6,2,2,"true","true",64,2,1.37438647006306e-10,120,"GRM"
18,6,4,2,"true","false",128,4,1.84724541440984e-10,120,"GRM"
2,2,1,4,"true","true",512,16,1.59324088476738e-10,120,"GRM"
8,4,2,2,"true","false",128,1,1.44946489136578e-10,120,"GRM"
15,5,1,4,"true","true",512,2,1.72808948603098e-10,120,"GRM"
16,4,4,2,"true","false",256,8,1.60844135826324e-10,120,"GRM"
2,2,1,2,"true","true",128,2,1.56879662240458e-10,120,"GRM"
10,5,2,4,"true","false",256,2,1.41321341327822e-10,120,"GRM"
6,6,1,2,"true","false",1024,16,1.19644084929894e-10,120,"GRM"
10,5,2,4,"true","false",128,1,1.42279592117531e-10,120,"GRM"
24,6,1,2,"true","true",256,4,1.43133545809889e-10,120,"GRM"
6,3,2,2,"true","false",128,4,1.5817793699039e-10,120,"GRM"
4,4,1,2,"true","true",256,8,1.28367573488695e-10,120,"GRM"
5,5,1,2,"true","true",512,4,1.180929223999e-10,120,"GRM"
5,5,1,4,"true","false",512,16,1.24692240135041e-10,120,"GRM"
16,4,2,4,"true","false",256,4,1.5857386479913e-10,120,"GRM"
5,5,1,2,"true","true",1024,32,1.25947020865076e-10,120,"GRM"
4,4,1,2,"true","true",512,2,1.26998171643399e-10,120,"GRM"
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GRM"
3,3,1,4,"true","false",128,2,1.36120252443834e-10,120,"GRM"
6,3,2,2,"true","false",128,4,1.5817793699039e-10,120,"GRM"
8,4,2,2,"true","false",128,1,1.44946489136578e-10,120,"GRM"
3,3,1,4,"true","false",512,4,1.35429549481083e-10,120,"GRM"
12,3,2,2,"true","true",64,1,1.73348646629763e-10,120,"GRM"
16,4,4,4,"true","false",128,2,1.57306422896745e-10,120,"GRM"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GRM"
24,6,1,4,"true","false",256,8,1.44483256505832e-10,120,"GRM"
8,4,2,2,"true","false",1024,16,1.44736414512629e-10,120,"GRM"
8,4,2,2,"true","true",1024,16,1.43169217579077e-10,120,"GRM"
4,4,1,4,"true","false",128,2,1.25109511762482e-10,120,"GRM"
4,4,1,4,"true","true",256,4,1.25460339973732e-10,120,"GRM"
12,6,2,4,"true","true",64,2,1.37227036791841e-10,120,"GRM"
24,6,2,4,"true","true",512,8,1.50268264338719e-10,120,"GRM"
4,2,1,2,"true","false",128,1,1.81710718902162e-10,120,"GRM"
12,3,4,2,"true","false",64,1,1.73350952378822e-10,120,"GRM"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GRM"
3,3,1,4,"true","false",512,2,1.35341152549115e-10,120,"GRM"
4,4,1,4,"true","true",256,2,1.24879203669815e-10,120,"GRM"
16,4,4,4,"true","false",128,2,1.57306422896745e-10,120,"GRM"
12,6,2,2,"true","false",128,2,1.38159240037189e-10,120,"GRM"
12,6,2,2,"true","true",512,8,1.34502841297936e-10,120,"GRM"
24,6,4,2,"true","false",256,4,1.43064682433489e-10,120,"GRM"
3,3,1,4,"true","true",256,4,1.35697524537269e-10,120,"GRM"
2,2,1,2,"true","false",512,8,1.56732863494209e-10,120,"GRM"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GRM"
12,3,1,4,"true","true",128,2,1.72925900783062e-10,120,"GRM"
5,5,1,2,"true","false",256,4,1.17561537135523e-10,120,"GRM"
12,6,2,4,"true","true",256,4,1.35662211876773e-10,120,"GRM"
24,6,2,4,"true","true",128,4,1.42596822850907e-10,120,"GRM"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GRM"
6,6,1,4,"true","true",256,4,1.19017999801124e-10,120,"GRM"
10,5,1,2,"true","false",512,8,1.43725775226545e-10,120,"GRM"
8,2,4,4,"true","false",512,4,2.07668615016469e-10,120,"GRM"
12,3,2,2,"true","false",128,2,1.73812692295894e-10,120,"GRM"
12,6,1,2,"true","true",512,8,1.37483429796381e-10,120,"GRM"
10,5,2,2,"true","false",128,2,1.44405719366328e-10,120,"GRM"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GRM"
2,2,1,2,"true","false",512,8,1.56732863494209e-10,120,"GRM"
16,4,4,4,"true","false",128,2,1.57306422896745e-10,120,"GRM"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GRM"
6,3,2,2,"true","false",128,4,1.5817793699039e-10,120,"GRM"
15,5,1,2,"true","true",256,8,1.72926804565186e-10,120,"GRM"
2,2,1,2,"true","true",512,4,1.55607518446307e-10,120,"GRM"
5,5,1,4,"true","false",1024,2,1.25193376721125e-10,120,"GRM"
12,6,1,2,"true","false",512,4,1.36576491973056e-10,120,"GRM"
12,6,2,2,"true","true",128,4,1.36248697593805e-10,120,"GRM"
20,5,4,4,"true","false",128,1,1.48754738201527e-10,120,"GRM"
10,5,1,2,"true","true",512,4,1.42444850290651e-10,120,"GRM"
20,5,4,4,"true","false",128,1,1.48754738201527e-10,120,"GRM"
12,3,2,2,"true","false",256,4,1.74609599331375e-10,120,"GRM"
6,3,2,4,"true","false",1024,16,1.52554038682594e-10,120,"GRM"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,120,"GRM"
20,5,2,2,"true","false",64,1,1.4731005264292e-10,120,"GRM"
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"GRM"
20,5,4,2,"true","true",256,2,1.5022536007427e-10,120,"GRM"
10,5,1,4,"true","true",512,16,1.4760907696458e-10,120,"GRM"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GRM"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GRM"
5,5,1,4,"true","false",512,16,1.24692240135041e-10,120,"GRM"
5,5,1,2,"true","true",256,1,1.18611767942795e-10,120,"GRM"
15,5,1,4,"true","false",128,4,1.73683539970295e-10,120,"GRM"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,120,"GRM"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,120,"GRM"
