"","elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
"45414",4,2,1,2,"true","false",256,2,1.79879678295205e-10
"5320",4,2,1,4,"true","true",512,32,2.91853010268681e-10
"30343",2,2,1,2,"true","false",512,4,1.55269439447837e-10
"172582",6,6,1,2,"true","true",256,1,1.17919974204394e-10
"14191",2,1,2,2,"true","true",1024,32,2.54373500946029e-10
"902",3,3,1,4,"true","false",512,16,1.37621340842642e-10
"116181",2,1,2,2,"true","true",1024,8,2.50807208898201e-10
"2382",3,3,8,2,"true","true",256,16,1.18511856117664e-09
"4213",3,3,1,4,"true","false",512,4,1.35429549481083e-10
"199241",12,3,4,2,"true","false",64,1,1.73350952378822e-10
"19348",18,6,8,2,"true","true",256,128,2.75253099268172e-09
"142582",6,6,1,2,"true","false",128,4,1.17732534790262e-10
"15615",16,4,4,2,"true","true",256,8,1.6040413531583e-10
"20379",24,6,2,2,"true","true",128,1,1.42628496494094e-10
"62392",3,3,1,4,"true","true",256,4,1.35697524537269e-10
"15695",12,6,4,4,"true","false",256,128,2.63374290333633e-09
"10894",10,5,2,2,"true","false",32,16,1.36139777229282e-09
"17274",24,6,4,2,"true","false",256,4,1.43064682433489e-10
"6385",4,1,4,4,"true","false",128,1,3.00631855275054e-10
"183712",8,4,2,2,"true","true",1024,16,1.43169217579077e-10
"15456",9,3,1,4,"true","true",512,128,8.91268640398833e-10
"8158",5,5,1,2,"true","true",64,8,3.61864903728388e-10
"1094",3,3,1,4,"true","false",128,2,1.36120252443834e-10
"70552",16,4,1,2,"true","true",128,1,1.57236511160692e-10
"767",4,2,4,4,"true","true",256,64,1.6521740934665e-09
"7232",6,6,1,2,"true","true",32,8,6.63749110745376e-10
"19951",9,3,1,4,"true","false",64,2,2.01249270575334e-10
"10320",5,5,1,2,"true","true",32,8,6.95975569238545e-10
"15762",12,4,4,2,"true","false",128,4,2.04332223170412e-10
"7140",12,6,8,2,"true","true",256,128,4.09156972710082e-09
"8417",16,4,2,4,"true","false",512,64,3.75359185280094e-10
"7935",12,6,1,2,"true","true",256,2,1.36286375373921e-10
"45415",4,2,1,2,"true","false",256,2,1.79879678295205e-10
"20264",2,1,16,2,"true","true",1024,512,1.10021007771135e-08
"76281",12,6,2,4,"true","true",512,4,1.34066482063271e-10
"1306",2,1,8,2,"true","false",512,64,1.80485859056124e-09
"79351",12,6,1,2,"true","true",256,2,1.36286375373921e-10
"13085",12,6,2,4,"true","true",256,4,1.35662211876773e-10
"18490",20,5,4,2,"true","false",128,8,2.05853206579024e-10
"17889",5,5,1,4,"true","true",1024,8,1.22673693643043e-10
"58241",2,2,1,2,"true","true",512,4,1.55607518446307e-10
"18161",12,3,4,4,"true","false",64,1,1.740001615849e-10
"18794",8,2,4,2,"true","false",256,2,2.05412034834989e-10
"1949",2,2,4,2,"true","true",128,16,1.67956634734971e-09
"1095",3,3,1,4,"true","false",128,2,1.36120252443834e-10
"3527",4,2,8,4,"true","false",128,64,4.65944684789709e-09
"1305",4,2,1,2,"true","true",128,2,1.80832688533745e-10
"1880",3,3,1,4,"true","true",256,1,1.36263397941189e-10
"2298",4,1,4,2,"true","false",256,2,3.03101967896442e-10
"15091",18,6,4,2,"true","true",512,2,1.85091832668072e-10
"21625",4,2,2,2,"true","false",1024,16,1.7612042431899e-10
"22619",6,3,8,4,"true","true",256,16,6.44636395867141e-10
"6233",3,3,1,4,"true","true",32,16,1.57885911752503e-09
"8061",10,5,2,2,"true","false",128,2,1.44405719366328e-10
"17092",9,3,1,2,"true","false",256,2,1.98117109228222e-10
"8125",16,4,4,2,"true","true",128,2,1.57132972686489e-10
"58242",2,2,1,2,"true","true",512,4,1.55607518446307e-10
"58243",2,2,1,2,"true","true",512,4,1.55607518446307e-10
"4236",2,2,1,2,"true","true",256,4,1.55549103506316e-10
"16461",24,6,4,4,"true","true",256,32,3.4435879041683e-10
"8240",12,6,2,4,"true","false",128,1,1.3888601664803e-10
"51735",2,1,2,2,"true","true",128,2,2.69262520295719e-10
"18566",15,5,4,2,"true","false",128,1,1.90132660041698e-10
"23009",18,6,1,2,"true","true",256,16,2.43029056794164e-10
"19101",16,4,1,2,"true","false",1024,128,4.05734860355415e-10
"21184",24,6,4,2,"true","false",64,1,1.42216872824127e-10
"18546",6,6,8,2,"true","false",256,128,8.03153958769836e-09
"580",4,1,4,4,"true","true",512,16,3.15603372857795e-10
"12321",24,6,1,4,"true","false",128,2,1.41304849053931e-10
"19991",3,3,1,4,"true","false",512,2,1.35341152549115e-10
"9487",10,5,1,4,"true","true",64,32,1.41338186236735e-09
"58244",2,2,1,2,"true","true",512,4,1.55607518446307e-10
"197891",8,2,4,2,"true","true",256,2,2.05341983808708e-10
"1940",1,1,1,2,"true","true",128,16,7.12667336102102e-10
"6085",4,1,4,4,"true","false",512,4,3.03402819809477e-10
"9834",18,6,2,2,"true","true",512,32,2.89924206218778e-10
"17377",8,2,1,4,"true","true",128,2,2.06846386476532e-10
"3472",3,1,4,4,"true","true",128,32,1.6105754847407e-09
"4274",2,1,2,2,"true","true",512,4,2.65256360380244e-10
"8779",12,3,2,2,"true","false",1024,128,4.50692881900298e-10
"9239",6,2,16,2,"true","true",256,16,8.90659018169985e-10
"6071",3,1,4,2,"true","false",256,8,3.68599901039091e-10
"20393",12,3,2,2,"true","true",64,1,1.73348646629763e-10
"160801",2,1,2,4,"true","false",1024,16,2.50825972132783e-10
"205142",8,4,2,2,"true","false",128,1,1.44946489136578e-10
