"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
6,3,8,4,"true","false",64,64,8.34253739879217e-09
6,6,4,4,"true","true",64,8,1.20347498504679e-09
4,4,1,2,"true","false",32,16,1.4382426963464e-09
10,5,1,2,"true","true",512,64,4.08593185422277e-10
12,3,4,2,"true","true",256,64,7.30938297173341e-10
2,1,1,4,"true","true",32,16,2.68189728855751e-09
12,4,8,2,"true","false",32,32,4.84471520861187e-09
2,2,1,4,"true","false",1024,1024,3.96151408651096e-09
16,4,1,2,"true","true",128,128,2.66036716670349e-09
10,5,4,4,"true","true",256,64,1.29823783745641e-09
4,2,16,4,"true","false",32,2,1.33238307580601e-09
6,2,4,4,"true","false",512,8,2.64457750383774e-10
3,3,16,4,"true","true",512,8,1.25276452548836e-09
2,2,16,4,"true","false",128,4,1.39472339128956e-09
1,1,4,2,"true","true",64,16,4.59439043660929e-09
6,2,16,4,"true","true",512,1,6.74376688451685e-10
2,2,16,4,"true","true",256,256,3.09605862950879e-08
6,3,1,4,"true","true",32,16,1.57580622734926e-09
18,6,16,4,"true","true",256,128,4.88176723867074e-09
3,1,4,2,"true","false",32,32,5.97257832714111e-09
4,4,8,2,"true","true",128,128,1.60354237667372e-08
10,5,1,4,"true","true",1024,2,1.60330048468792e-10
6,2,1,2,"true","true",128,64,1.88258987955483e-09
4,1,8,2,"true","false",256,2,4.37031853786743e-10
20,5,1,2,"true","true",512,128,7.17412843085526e-10
3,1,2,2,"true","true",1024,1024,6.11358279740934e-09
4,4,4,4,"true","false",512,256,5.58543672883988e-09
18,6,1,4,"true","false",64,64,3.03863401182944e-09
4,4,16,4,"true","true",512,128,7.441587813753e-09
5,5,2,4,"true","false",1024,512,3.78220507870435e-09
18,6,2,2,"true","false",64,16,8.28953084089412e-10
12,4,8,2,"true","true",128,16,7.24329427585146e-10
4,2,8,2,"true","false",128,8,7.46396071004324e-10
3,3,4,4,"true","false",1024,64,8.90924359662312e-10
15,5,2,2,"true","true",128,1,1.975700790419e-10
3,3,16,2,"true","true",32,2,2.22079436883568e-09
6,6,1,4,"true","false",256,32,3.67273593472767e-10
12,4,1,2,"true","false",128,128,3.06278394097562e-09
6,3,1,4,"true","false",128,1,1.61134830116702e-10
5,5,1,4,"true","false",512,8,1.22080038327934e-10
5,5,8,4,"true","false",32,32,1.42234952236916e-08
10,5,2,2,"true","false",64,32,1.41314738170039e-09
2,1,8,4,"true","false",128,128,1.29870738301762e-08
4,1,16,2,"true","false",512,64,1.58664799598964e-09
5,5,4,2,"true","false",256,1,4.19811819962259e-10
18,6,4,4,"true","false",32,32,3.10011276662359e-09
10,5,2,2,"true","false",256,16,2.21922416656507e-10
4,2,8,4,"true","false",512,1,5.09507928755035e-10
4,4,4,4,"true","true",128,128,1.05606261094546e-08
18,6,2,4,"true","true",128,1,1.83101659105521e-10
12,4,8,4,"true","true",1024,64,5.20595610061316e-10
16,4,8,4,"true","false",32,4,5.61906836290288e-10
1,1,2,2,"true","false",1024,4,4.5172498501598e-10
16,4,16,2,"true","false",32,4,9.6505777744921e-10
4,4,8,2,"true","false",512,32,1.12908159304874e-09
4,2,8,4,"true","false",128,8,7.50237848623951e-10
5,5,2,4,"true","true",128,1,2.57640111994345e-10
9,3,8,4,"true","true",256,1,3.20790852274789e-10
4,1,8,2,"true","false",256,32,9.74359912650274e-10
6,3,4,2,"true","true",512,8,2.79957798667004e-10
12,3,1,2,"true","false",128,4,1.76288305993675e-10
4,2,16,2,"true","false",512,16,8.31599281136125e-10
3,1,8,2,"true","false",512,64,1.26847939861254e-09
12,4,4,2,"true","false",1024,128,5.67252060645817e-10
9,3,2,4,"true","true",64,32,1.87496547864006e-09
1,1,1,4,"true","true",1024,4,2.38587480839724e-10
20,5,1,2,"true","true",512,16,1.6408131496861e-10
18,6,8,4,"true","false",512,16,3.6214942216391e-10
9,3,2,2,"true","false",512,1,2.35094735621644e-10
4,4,2,2,"true","false",512,64,7.98876769833396e-10
6,3,2,4,"true","false",64,8,4.37460324666894e-10
5,5,1,2,"true","false",256,64,7.49493464928194e-10
3,1,1,4,"true","true",256,256,5.31507310782357e-09
12,6,4,4,"true","false",128,64,2.51857353167841e-09
4,4,4,4,"true","false",64,64,1.06788599206182e-08
4,4,2,2,"true","false",32,2,4.8662865615116e-10
4,1,1,2,"true","true",1024,512,2.35746535460193e-09
6,2,4,4,"true","false",512,512,4.29284272888879e-09
3,3,8,2,"true","true",128,128,1.66882812848802e-08
8,2,2,2,"true","false",1024,4,2.56928076894007e-10
6,2,16,2,"true","true",256,1,6.04773909414821e-10
10,5,1,2,"true","true",64,1,1.47333475062558e-10
16,4,16,2,"true","false",256,4,4.88641025971568e-10
18,6,1,4,"true","false",512,32,2.60787408217106e-10
20,5,8,4,"true","true",256,4,2.32649302141297e-10
12,6,2,4,"true","false",256,2,1.4093397063068e-10
12,4,1,2,"true","false",128,16,4.34405952017986e-10
4,1,4,4,"true","false",512,1,3.3021275140083e-10
5,5,8,4,"true","true",64,16,3.60030543074196e-09
2,2,4,2,"true","true",512,8,5.91171141700657e-10
18,6,4,4,"true","true",1024,1,2.37605576535633e-10
24,6,2,2,"true","false",128,1,1.43562117820356e-10
1,1,4,4,"true","false",32,16,9.11740168861194e-09
24,6,16,2,"true","false",64,8,8.93530239894566e-10
20,5,1,4,"true","false",32,2,2.17461920566085e-10
6,2,16,4,"true","false",256,16,9.04602919483457e-10
3,3,16,4,"true","true",64,32,1.34583343889876e-08
