"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run"
6,2,16,4,"true","true",256,2,6.0210132839562e-10,4
4,2,2,2,"true","false",256,256,3.72193523819843e-09,4
2,1,1,2,"true","true",1024,8,2.51784234312279e-10,4
3,3,16,2,"true","false",128,2,1.2416985383795e-09,4
4,4,8,2,"true","false",256,16,1.10334195812081e-09,4
6,2,1,2,"true","true",64,4,3.39480593196824e-10,4
6,3,1,2,"true","true",512,16,1.61133867860815e-10,4
4,1,2,2,"true","true",256,2,3.02718332460125e-10,4
16,4,2,2,"true","false",256,32,3.69551943017709e-10,4
4,2,4,4,"true","true",128,1,3.43826914444904e-10,4
2,1,4,4,"true","false",512,128,2.35538678554235e-09,5
12,4,16,4,"true","true",64,1,5.67424162634567e-10,5
18,6,8,2,"true","false",256,32,7.13289516882859e-10,5
12,3,1,4,"true","true",512,1,1.97975746591285e-10,5
15,5,16,4,"true","true",256,64,2.33950008962686e-09,5
18,6,16,4,"true","true",256,4,6.09221077985115e-10,5
3,1,8,2,"true","true",64,16,2.32766026182629e-09,5
24,6,2,4,"true","false",128,16,3.32658513349041e-10,5
12,3,16,4,"true","false",128,8,6.14365922085814e-10,5
2,1,16,4,"true","true",128,4,1.15914183273785e-09,5
15,5,1,2,"true","true",128,16,4.15902118912313e-10,5
12,3,1,2,"true","true",256,256,2.82890756499516e-09,5
3,3,16,4,"true","false",128,128,2.79080306518296e-08,5
6,3,2,2,"true","true",1024,32,1.59987724589747e-10,5
12,4,4,2,"true","false",64,8,5.02023214065662e-10,5
4,1,4,2,"true","true",64,1,3.0391174713387e-10,5
18,6,4,4,"true","true",32,2,3.01479283517078e-10,5
15,5,4,4,"true","false",64,4,2.90955328133135e-10,5
8,4,4,4,"true","true",64,8,6.9526441800915e-10,5
8,4,2,4,"true","true",1024,1,1.91389702589612e-10,5
10,5,2,4,"true","true",1024,1024,4.1549612556474e-09,5
9,3,1,4,"true","true",128,1,2.01292415903815e-10,5
3,1,1,2,"true","false",256,64,1.43119969735426e-09,5
3,3,4,2,"true","true",32,16,5.34412984971549e-09,5
12,3,16,4,"true","true",512,32,6.58412737288584e-10,5
20,5,4,4,"true","true",128,16,3.43882250344356e-10,5
12,6,2,4,"true","true",64,2,1.37227036791841e-10,5
4,2,4,2,"true","true",32,32,6.22310923719596e-09,5
20,5,1,4,"true","false",256,16,2.10115023338065e-10,5
3,1,2,2,"true","true",1024,2,3.72505769818497e-10,5
12,4,2,4,"true","false",1024,1,2.62763640614847e-10,5
6,6,16,2,"true","true",256,1,1.58145331410985e-09,5
5,5,8,2,"true","false",512,16,6.61035649772614e-10,5
