"","elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
"5316",1,1,16,4,"true","true",128,128,4.20259742578911e-08
"4199",4,2,2,4,"true","true",128,1,1.87192637095172e-10
"9168",12,4,4,4,"true","true",128,128,3.52633731399994e-09
"12162",6,2,1,4,"true","true",32,1,2.73302467753878e-10
"11460",15,5,2,2,"true","false",512,8,1.98802150280916e-10
"20834",15,5,4,2,"true","false",256,32,4.72210025130864e-10
"3819",2,2,2,4,"true","false",256,4,3.38206333531345e-10
"10846",12,6,16,4,"true","false",256,64,3.56812384354402e-09
"13543",8,2,8,4,"true","false",128,128,4.60665131647221e-09
"18781",10,5,4,4,"true","true",128,4,2.44676560422124e-10
"20438",8,2,8,4,"true","false",1024,2,4.07217990169696e-10
"8104",5,5,1,2,"true","false",64,32,1.41509223907457e-09
"3837",4,2,4,4,"true","true",128,64,3.17336957404482e-09
"11752",6,3,1,4,"true","true",1024,64,2.64124015563851e-10
"15144",8,2,2,4,"true","true",512,8,2.07946104835334e-10
"1714",3,1,1,2,"true","true",512,32,4.84464907416974e-10
"17857",8,4,2,4,"true","false",1024,256,9.16786979534194e-10
"7616",9,3,16,2,"true","false",64,1,5.86116616475888e-10
"2110",3,3,16,2,"true","true",64,1,1.52755240091595e-09
"72",4,4,4,2,"true","false",64,8,1.3301528203716e-09
"12632",24,6,1,2,"true","true",512,16,1.57105091348158e-10
"21460",8,4,4,4,"true","false",128,1,2.62247882800325e-10
"3783",1,1,8,4,"true","false",256,256,2.58756740791905e-08
"13461",5,5,2,2,"true","false",256,1,2.60611352375927e-10
"4285",2,2,4,4,"true","true",256,256,1.25866403157911e-08
"6248",2,2,4,4,"true","true",512,8,6.01884072076968e-10
"2648",2,2,4,4,"true","false",512,256,6.44812438974027e-09
"13092",18,6,4,4,"true","true",512,2,1.86701557898549e-10
"15968",6,6,2,4,"true","true",512,128,1.55321185636648e-09
"1610",4,1,2,4,"true","true",32,32,4.48265425165862e-09
"23098",2,1,1,2,"true","false",1024,1024,5.37996699632791e-09
"4172",2,1,16,4,"true","false",256,1,1.16668051334752e-09
"7333",9,3,4,2,"true","true",1024,4,2.79808507999963e-10
"17096",6,2,4,2,"true","false",1024,32,3.00595566866042e-10
"13028",20,5,2,2,"true","true",512,16,1.62107988887628e-10
"16151",15,5,1,2,"true","true",1024,256,9.19500195403749e-10
"18461",15,5,16,2,"true","true",64,64,9.18280766033047e-09
"4916",1,1,8,2,"true","false",64,64,2.64232741857144e-08
"915",4,1,4,4,"true","true",64,4,4.02098296358986e-10
"13254",8,2,2,4,"true","true",128,1,2.05130646897333e-10
"10177",20,5,4,2,"true","true",1024,4,1.89390495758476e-10
"17837",24,6,2,4,"true","false",64,16,6.19977687895924e-10
"8731",18,6,1,4,"true","false",1024,1024,4.26182572477155e-09
"3835",2,1,16,2,"true","true",64,64,2.12156331208674e-08
"22563",5,5,2,4,"true","true",512,1,2.60546908756661e-10
"11209",6,3,4,4,"true","true",1024,128,8.74162049362045e-10
"22395",6,6,8,2,"true","true",256,1,6.14937517093307e-10
"19843",24,6,8,2,"true","true",64,64,4.00357353678511e-09
"22271",5,5,4,2,"true","true",1024,64,8.16983320020876e-10
"5912",4,1,1,2,"true","true",256,64,1.21221694481556e-09
"21700",9,3,8,4,"true","true",128,16,7.86052134275293e-10
"1063",2,2,2,4,"true","true",128,2,3.43064655683877e-10
"4655",1,1,2,2,"true","true",512,256,5.35246716427845e-09
"17577",9,3,16,4,"true","false",32,8,2.35232583420688e-09
"20963",1,1,4,4,"true","false",1024,4,7.60419906945918e-10
"17008",2,1,8,2,"true","true",1024,32,7.68240389167173e-10
"6",2,2,2,2,"true","true",128,8,5.36471953780193e-10
"18480",15,5,1,4,"true","false",256,64,7.65382715648165e-10
"14542",18,6,1,2,"true","false",512,512,3.37501600448487e-09
"17869",12,4,8,2,"true","true",512,16,3.1702700366313e-10
"9472",5,5,2,2,"true","false",512,8,2.61056417226585e-10
"20746",6,6,8,4,"true","false",64,2,6.08363298625413e-10
"11151",6,3,8,4,"true","true",128,1,4.07946017707717e-10
"14741",1,1,8,4,"true","false",32,1,1.60801751144747e-09
"5613",4,4,8,2,"true","true",512,32,1.1242564211153e-09
"16517",12,4,16,4,"true","false",128,128,9.01110299712868e-09
"20191",20,5,2,4,"true","true",512,2,1.63656619740194e-10
"15713",20,5,1,2,"true","false",32,1,1.69782418335879e-10
"4420",4,4,1,2,"true","true",256,256,3.18539868860608e-09
"5543",4,2,16,2,"true","true",128,16,2.10777034420954e-09
"9999",6,6,16,2,"true","true",512,256,1.74998022769142e-08
"20667",15,5,2,2,"true","true",64,4,2.87968580112691e-10
"15994",5,5,4,2,"true","false",512,256,5.56723252713616e-09
"2345",3,1,1,2,"true","false",64,32,2.7398447033291e-09
"12699",15,5,16,2,"true","true",512,64,1.36898716479491e-09
"14261",18,6,1,2,"true","false",64,4,2.40851148443272e-10
"12861",24,6,4,2,"true","false",256,128,1.34201060880529e-09
"17063",24,6,8,4,"true","false",512,256,2.60382137596596e-09
"15046",12,3,1,2,"true","false",64,64,2.79483705352696e-09
"9559",8,4,16,2,"true","true",32,8,3.16690085032894e-09
"17450",8,4,2,2,"true","false",256,256,3.1615208419791e-09
"16224",4,1,4,2,"true","false",1024,2,3.39553695878267e-10
"15867",20,5,8,2,"true","true",64,4,3.15278516769086e-10
"823",2,2,8,2,"true","false",64,16,4.72962058610754e-09
"5781",2,1,4,2,"true","true",128,1,4.76561649910369e-10
"4409",3,1,16,4,"true","true",128,1,8.8511726593608e-10
"3030",4,4,8,2,"true","true",256,1,6.54141828184674e-10
"1964",4,1,1,2,"true","false",256,16,3.92556254411348e-10
"1860",3,1,16,4,"true","false",256,256,1.39220766817342e-08
"22630",12,4,4,4,"true","false",512,256,1.90142138800042e-09
"19527",20,5,4,2,"true","false",512,128,7.11827101304488e-10
"8067",10,5,8,4,"true","true",128,32,1.8593171671838e-09
"3761",2,2,2,2,"true","false",64,4,5.47532091267963e-10
"15946",12,6,4,4,"true","false",1024,2,2.66399154876255e-10
"20468",6,6,16,4,"true","true",128,1,1.54306663731281e-09
"18303",12,6,16,4,"true","true",64,8,1.62766637053674e-09
"17135",2,2,16,2,"true","false",1024,256,8.43917416002306e-09
"4606",3,1,16,2,"true","true",32,1,9.86378624868724e-10
"18015",5,5,4,4,"true","true",1024,2,5.33932224871053e-10
"14332",15,5,2,2,"true","true",256,256,3.60164974416603e-09
"14401",20,5,4,4,"true","false",256,2,1.50010422334653e-10
"15594",6,6,16,2,"true","true",256,128,1.45934090012488e-08
"15162",24,6,8,2,"true","true",64,32,1.9111871439232e-09
"14603",20,5,16,2,"true","false",512,512,9.00827287885081e-09
"5158",4,2,1,4,"true","false",256,4,1.93862476366942e-10
