"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run"
20,5,8,2,"true","true",512,1,2.71687228833935e-10,2
2,1,16,2,"true","true",128,4,1.16285165090153e-09,2
3,1,8,4,"true","true",128,64,4.43248384950714e-09,2
8,4,16,2,"true","false",32,1,7.86428899693548e-10,2
3,1,2,4,"true","false",64,16,1.61134741602829e-09,2
4,4,4,2,"true","true",64,4,7.3977797076004e-10,2
20,5,2,2,"true","false",32,8,6.30098376064748e-10,2
6,3,1,4,"true","false",32,8,8.2186947350877e-10,2
3,3,4,2,"true","true",512,2,5.04067617976827e-10,2
2,2,16,4,"true","true",128,4,1.31010489949687e-09,2
16,4,2,2,"true","false",512,32,2.26235490844712e-10,2
9,3,4,2,"true","true",128,8,3.27989421973262e-10,2
2,2,1,2,"true","false",32,16,1.85056927267679e-09,2
9,3,8,2,"true","false",512,1,3.37860649435685e-10,2
8,4,8,2,"true","true",512,4,3.91322253228462e-10,2
24,6,8,2,"true","true",64,16,9.556829465188e-10,2
2,2,4,2,"true","false",1024,2,7.37502910612595e-10,2
5,5,4,2,"true","true",32,16,4.60315156722894e-09,2
6,6,8,2,"true","false",32,1,7.753400580976e-10,2
6,6,2,4,"true","false",64,64,6.04320743287147e-09,2
18,6,2,2,"true","true",256,32,4.6641067800708e-10,2
3,1,1,4,"true","false",32,16,2.72816398533651e-09,2
3,1,16,2,"true","false",512,64,2.03894766401769e-09,2
8,2,2,2,"true","true",1024,512,1.83007748233123e-09,2
20,5,2,2,"true","false",32,32,2.35980507060059e-09,2
12,6,2,4,"true","true",1024,4,1.46227066702044e-10,3
8,2,8,4,"true","true",512,2,3.27025490914215e-10,3
10,5,4,2,"true","true",64,8,6.52870308198488e-10,3
8,2,16,2,"true","false",1024,8,6.38276709243503e-10,3
18,6,1,4,"true","false",1024,8,1.97656212879105e-10,3
2,1,16,4,"true","false",32,4,3.01437984772361e-09,3
6,2,16,4,"true","false",512,1,6.66815912343011e-10,3
2,1,4,4,"true","false",512,64,1.24239981075188e-09,3
3,3,1,4,"true","true",1024,64,2.52376227701116e-10,3
1,1,16,4,"true","false",256,1,2.01493976904266e-09,3
15,5,1,2,"true","false",256,64,7.66671357029395e-10,3
12,3,8,4,"true","true",256,2,2.55529893609616e-10,3
12,3,2,4,"true","true",512,256,1.49488345194563e-09,3
